_id,year,month,idgeo,isoalpha3,source,indicator,area,quintile,sex,education_level,age,ethnicity,value,se,cv,sample,language,collection_en,collection_es,theme_en,theme_es,disability,migration,management,funding
36,2003,NA,country,ARG,ARG-EPHC,anos_promedio_educ_activos,Total,Total,Total,Total,Total,Total,10.9101251789635,106.15344514216,31048.5250264148,425592.0,Total,Household Socio-Economic Surveys,Encuestas socioeconómicas de los hogares,Education,Educación,Total,Total,Total,Total
72,2004,NA,country,ARG,ARG-EPHC,anos_promedio_educ_activos,Total,Total,Total,Total,Total,Total,10.9585781184884,94.7756001625348,27787.2300755342,436847.0,Total,Household Socio-Economic Surveys,Encuestas socioeconómicas de los hogares,Education,Educación,Total,Total,Total,Total
114,2005,NA,country,ARG,ARG-EPHC,anos_promedio_educ_activos,Total,Total,Total,Total,Total,Total,11.0975150196753,91.7129305642341,26633.3880577366,440112.0,Total,Household Socio-Economic Surveys,Encuestas socioeconómicas de los hogares,Education,Educación,Total,Total,Total,Total
156,2006,NA,country,ARG,ARG-EPHC,anos_promedio_educ_activos,Total,Total,Total,Total,Total,Total,10.7277735537283,83.8698682604812,25485.9774666157,578284.0,Total,Household Socio-Economic Surveys,Encuestas socioeconómicas de los hogares,Education,Educación,Total,Total,Total,Total
198,2007,NA,country,ARG,ARG-EPHC,anos_promedio_educ_activos,Total,Total,Total,Total,Total,Total,10.8985131268473,93.2883280964124,27873.0092771794,554411.0,Total,Household Socio-Economic Surveys,Encuestas socioeconómicas de los hogares,Education,Educación,Total,Total,Total,Total
240,2008,NA,country,ARG,ARG-EPHC,anos_promedio_educ_activos,Total,Total,Total,Total,Total,Total,10.9094389375484,94.4619762682437,28341.116426857,559519.0,Total,Household Socio-Economic Surveys,Encuestas socioeconómicas de los hogares,Education,Educación,Total,Total,Total,Total
282,2009,NA,country,ARG,ARG-EPHC,anos_promedio_educ_activos,Total,Total,Total,Total,Total,Total,10.9953673783622,99.4482071479135,29874.7517978238,547672.0,Total,Household Socio-Economic Surveys,Encuestas socioeconómicas de los hogares,Education,Educación,Total,Total,Total,Total
324,2010,NA,country,ARG,ARG-EPHC,anos_promedio_educ_activos,Total,Total,Total,Total,Total,Total,11.1452377913405,101.159591749558,30006.585897305,544740.0,Total,Household Socio-Economic Surveys,Encuestas socioeconómicas de los hogares,Education,Educación,Total,Total,Total,Total
366,2011,NA,country,ARG,ARG-EPHC,anos_promedio_educ_activos,Total,Total,Total,Total,Total,Total,11.1859678904788,104.783363564204,31282.5969722426,535921.0,Total,Household Socio-Economic Surveys,Encuestas socioeconómicas de los hogares,Education,Educación,Total,Total,Total,Total
408,2012,NA,country,ARG,ARG-EPHC,anos_promedio_educ_activos,Total,Total,Total,Total,Total,Total,11.261137525955,111.433142656372,33285.4861817191,518994.0,Total,Household Socio-Economic Surveys,Encuestas socioeconómicas de los hogares,Education,Educación,Total,Total,Total,Total
450,2013,NA,country,ARG,ARG-EPHC,anos_promedio_educ_activos,Total,Total,Total,Total,Total,Total,11.2993474820669,107.982081858462,32118.1543730456,522216.0,Total,Household Socio-Economic Surveys,Encuestas socioeconómicas de los hogares,Education,Educación,Total,Total,Total,Total
