_id,name,country,isoalpha3,frequency,period,date,value
1,"CPI (index, period average)",Argentina,ARG,Annual,1990,01/01/1990 12:00:00 AM,100.0
2,"CPI (index, period average)",Argentina,ARG,Annual,1991,01/01/1991 12:00:00 AM,271.6716994434724
3,"CPI (index, period average)",Argentina,ARG,Annual,1992,01/01/1992 12:00:00 AM,339.3178170631801
4,"CPI (index, period average)",Argentina,ARG,Annual,1993,01/01/1993 12:00:00 AM,375.3245711305443
5,"CPI (index, period average)",Argentina,ARG,Annual,1994,01/01/1994 12:00:00 AM,391.0031456029469
6,"CPI (index, period average)",Argentina,ARG,Annual,1995,01/01/1995 12:00:00 AM,404.2037971158879
7,"CPI (index, period average)",Argentina,ARG,Annual,1996,01/01/1996 12:00:00 AM,404.8330527690771
8,"CPI (index, period average)",Argentina,ARG,Annual,1997,01/01/1997 12:00:00 AM,406.9729506525463
9,"CPI (index, period average)",Argentina,ARG,Annual,1998,01/01/1998 12:00:00 AM,410.7360884918083
10,"CPI (index, period average)",Argentina,ARG,Annual,1999,01/01/1999 12:00:00 AM,405.9441252138824
11,"CPI (index, period average)",Argentina,ARG,Annual,2000,01/01/2000 12:00:00 AM,402.1318738812914
12,"CPI (index, period average)",Argentina,ARG,Annual,2001,01/01/2001 12:00:00 AM,397.847144980526
13,"CPI (index, period average)",Argentina,ARG,Annual,2002,01/01/2002 12:00:00 AM,500.7644175468816
14,"CPI (index, period average)",Argentina,ARG,Annual,2003,01/01/2003 12:00:00 AM,568.0828963752072
15,"CPI (index, period average)",Argentina,ARG,Annual,2004,01/01/2004 12:00:00 AM,593.1693576093019
16,"CPI (index, period average)",Argentina,ARG,Annual,2005,01/01/2005 12:00:00 AM,650.3651090699273
17,"CPI (index, period average)",Argentina,ARG,Annual,2006,01/01/2006 12:00:00 AM,722.0465991319696
18,"CPI (index, period average)",Argentina,ARG,Annual,2007,01/01/2007 12:00:00 AM,847.7960296058551
19,"CPI (index, period average)",Argentina,ARG,Annual,2008,01/01/2008 12:00:00 AM,1049.983949598831
20,"CPI (index, period average)",Argentina,ARG,Annual,2009,01/01/2009 12:00:00 AM,1205.888067499637
21,"CPI (index, period average)",Argentina,ARG,Annual,2010,01/01/2010 12:00:00 AM,1517.621772218975
22,"CPI (index, period average)",Argentina,ARG,Annual,2011,01/01/2011 12:00:00 AM,1879.599363868642
23,"CPI (index, period average)",Argentina,ARG,Annual,2012,01/01/2012 12:00:00 AM,2332.819123889602
24,"CPI (index, period average)",Argentina,ARG,Annual,2013,01/01/2013 12:00:00 AM,2928.797630037513
25,"CPI (index, period average)",Argentina,ARG,Annual,2014,01/01/2014 12:00:00 AM,4111.599821397084
26,"CPI (index, period average)",Argentina,ARG,Annual,2015,01/01/2015 12:00:00 AM,5203.563425067754
27,"CPI (index, period average)",Argentina,ARG,Annual,2016,01/01/2016 12:00:00 AM,7297.884412781017
28,"CPI (index, period average)",Argentina,ARG,Annual,2017,01/01/2017 12:00:00 AM,9135.906318445574
29,"CPI (index, period average)",Argentina,ARG,Annual,2018,01/01/2018 12:00:00 AM,12267.44136543844
30,"CPI (index, period average)",Argentina,ARG,Annual,2019,01/01/2019 12:00:00 AM,18836.44820366723
31,"CPI (index, period average)",Argentina,ARG,Annual,2020,01/01/2020 12:00:00 AM,26750.59976164655
32,"CPI (index, period average)",Argentina,ARG,Annual,2021,01/01/2021 12:00:00 AM,39700.39888485943
33,"CPI (index, period average)",Argentina,ARG,Annual,2022,01/01/2022 12:00:00 AM,68462.91463274261
34,"CPI (index, period average)",Argentina,ARG,Annual,2023,01/01/2023 12:00:00 AM,159729.1686307813
35,"CPI (index, period average)",Chile,CHL,Annual,1990,01/01/1990 12:00:00 AM,100.0
36,"CPI (index, period average)",Chile,CHL,Annual,1991,01/01/1991 12:00:00 AM,121.7844199096036
37,"CPI (index, period average)",Chile,CHL,Annual,1992,01/01/1992 12:00:00 AM,140.5706449491345
38,"CPI (index, period average)",Chile,CHL,Annual,1993,01/01/1993 12:00:00 AM,158.4621412479185
39,"CPI (index, period average)",Chile,CHL,Annual,1994,01/01/1994 12:00:00 AM,176.5951611323342
40,"CPI (index, period average)",Chile,CHL,Annual,1995,01/01/1995 12:00:00 AM,191.133593607881
41,"CPI (index, period average)",Chile,CHL,Annual,1996,01/01/1996 12:00:00 AM,205.1993339210501
42,"CPI (index, period average)",Chile,CHL,Annual,1997,01/01/1997 12:00:00 AM,217.7859871541917
43,"CPI (index, period average)",Chile,CHL,Annual,1998,01/01/1998 12:00:00 AM,228.9153827854974
44,"CPI (index, period average)",Chile,CHL,Annual,1999,01/01/1999 12:00:00 AM,236.5540209618963
45,"CPI (index, period average)",Chile,CHL,Annual,2000,01/01/2000 12:00:00 AM,245.6454388984509
46,"CPI (index, period average)",Chile,CHL,Annual,2001,01/01/2001 12:00:00 AM,254.4127730433931
47,"CPI (index, period average)",Chile,CHL,Annual,2002,01/01/2002 12:00:00 AM,260.7461203699816
48,"CPI (index, period average)",Chile,CHL,Annual,2003,01/01/2003 12:00:00 AM,268.0735485495991
49,"CPI (index, period average)",Chile,CHL,Annual,2004,01/01/2004 12:00:00 AM,270.9010257056099
50,"CPI (index, period average)",Chile,CHL,Annual,2005,01/01/2005 12:00:00 AM,279.1704798287225
