_id,name,country,isoalpha3,frequency,period,date,value
1,"Total Credit (real index, period average)",Argentina,ARG,Annual,1990,01/01/1990 12:00:00 AM,100.0
2,"Total Credit (real index, period average)",Argentina,ARG,Annual,1991,01/01/1991 12:00:00 AM,89.91479298359977
3,"Total Credit (real index, period average)",Argentina,ARG,Annual,1992,01/01/1992 12:00:00 AM,92.86882712059835
4,"Total Credit (real index, period average)",Argentina,ARG,Annual,1993,01/01/1993 12:00:00 AM,104.4029768106914
5,"Total Credit (real index, period average)",Argentina,ARG,Annual,1994,01/01/1994 12:00:00 AM,117.420714078772
6,"Total Credit (real index, period average)",Argentina,ARG,Annual,1995,01/01/1995 12:00:00 AM,113.849773991874
7,"Total Credit (real index, period average)",Argentina,ARG,Annual,1996,01/01/1996 12:00:00 AM,123.045300963368
8,"Total Credit (real index, period average)",Argentina,ARG,Annual,1997,01/01/1997 12:00:00 AM,136.4920884528169
9,"Total Credit (real index, period average)",Argentina,ARG,Annual,1998,01/01/1998 12:00:00 AM,151.4929218474459
10,"Total Credit (real index, period average)",Argentina,ARG,Annual,1999,01/01/1999 12:00:00 AM,160.407029297877
11,"Total Credit (real index, period average)",Argentina,ARG,Annual,2000,01/01/2000 12:00:00 AM,161.9875895482701
12,"Total Credit (real index, period average)",Argentina,ARG,Annual,2001,01/01/2001 12:00:00 AM,167.485770798215
13,"Total Credit (real index, period average)",Argentina,ARG,Annual,2002,01/01/2002 12:00:00 AM,240.9502721986263
14,"Total Credit (real index, period average)",Argentina,ARG,Annual,2003,01/01/2003 12:00:00 AM,213.0228369554995
15,"Total Credit (real index, period average)",Argentina,ARG,Annual,2004,01/01/2004 12:00:00 AM,212.6183283543795
16,"Total Credit (real index, period average)",Argentina,ARG,Annual,2005,01/01/2005 12:00:00 AM,185.9034760767707
17,"Total Credit (real index, period average)",Argentina,ARG,Annual,2006,01/01/2006 12:00:00 AM,168.7658065065206
18,"Total Credit (real index, period average)",Argentina,ARG,Annual,2007,01/01/2007 12:00:00 AM,157.1256977661066
19,"Total Credit (real index, period average)",Argentina,ARG,Annual,2008,01/01/2008 12:00:00 AM,149.9204502615021
20,"Total Credit (real index, period average)",Argentina,ARG,Annual,2009,01/01/2009 12:00:00 AM,151.09744639078
21,"Total Credit (real index, period average)",Argentina,ARG,Annual,2010,01/01/2010 12:00:00 AM,161.0034971557197
22,"Total Credit (real index, period average)",Argentina,ARG,Annual,2011,01/01/2011 12:00:00 AM,182.6091776785675
23,"Total Credit (real index, period average)",Argentina,ARG,Annual,2012,01/01/2012 12:00:00 AM,195.4625930892724
24,"Total Credit (real index, period average)",Argentina,ARG,Annual,2013,01/01/2013 12:00:00 AM,215.6502082145148
25,"Total Credit (real index, period average)",Argentina,ARG,Annual,2014,01/01/2014 12:00:00 AM,209.8579164380844
26,"Total Credit (real index, period average)",Argentina,ARG,Annual,2015,01/01/2015 12:00:00 AM,225.6232623703523
27,"Total Credit (real index, period average)",Argentina,ARG,Annual,2016,01/01/2016 12:00:00 AM,226.1261534351717
28,"Total Credit (real index, period average)",Argentina,ARG,Annual,2017,01/01/2017 12:00:00 AM,238.8557557576691
29,"Total Credit (real index, period average)",Argentina,ARG,Annual,2019,01/01/2019 12:00:00 AM,193.7445770199504
30,"Total Credit (real index, period average)",Argentina,ARG,Annual,2020,01/01/2020 12:00:00 AM,241.033287819054
31,"Total Credit (real index, period average)",Argentina,ARG,Annual,2021,01/01/2021 12:00:00 AM,229.8183912487902
32,"Total Credit (real index, period average)",Argentina,ARG,Annual,2022,01/01/2022 12:00:00 AM,224.6198888984369
33,"Total Credit (real index, period average)",Chile,CHL,Annual,1990,01/01/1990 12:00:00 AM,100.0
34,"Total Credit (real index, period average)",Chile,CHL,Annual,1991,01/01/1991 12:00:00 AM,96.54270754298476
35,"Total Credit (real index, period average)",Chile,CHL,Annual,1992,01/01/1992 12:00:00 AM,109.4545123517085
36,"Total Credit (real index, period average)",Chile,CHL,Annual,1993,01/01/1993 12:00:00 AM,130.6328388473459
37,"Total Credit (real index, period average)",Chile,CHL,Annual,1994,01/01/1994 12:00:00 AM,143.0389479608338
38,"Total Credit (real index, period average)",Chile,CHL,Annual,1995,01/01/1995 12:00:00 AM,158.2172667863813
39,"Total Credit (real index, period average)",Chile,CHL,Annual,1996,01/01/1996 12:00:00 AM,183.1068372050032
40,"Total Credit (real index, period average)",Chile,CHL,Annual,1997,01/01/1997 12:00:00 AM,204.2362029957624
41,"Total Credit (real index, period average)",Chile,CHL,Annual,1998,01/01/1998 12:00:00 AM,228.2780455354906
42,"Total Credit (real index, period average)",Chile,CHL,Annual,1999,01/01/1999 12:00:00 AM,231.2501373662092
43,"Total Credit (real index, period average)",Chile,CHL,Annual,2000,01/01/2000 12:00:00 AM,236.4293856126507
44,"Total Credit (real index, period average)",Chile,CHL,Annual,2001,01/01/2001 12:00:00 AM,251.5959167312485
45,"Total Credit (real index, period average)",Chile,CHL,Annual,2002,01/01/2002 12:00:00 AM,257.9979292761001
46,"Total Credit (real index, period average)",Chile,CHL,Annual,2003,01/01/2003 12:00:00 AM,262.2093721098066
47,"Total Credit (real index, period average)",Chile,CHL,Annual,2004,01/01/2004 12:00:00 AM,278.1804806638357
