_id,year,month,idgeo,isoalpha3,source,indicator,area,quintile,sex,education_level,age,ethnicity,value,se,cv,sample,language,collection_en,collection_es,theme_en,theme_es,disability,migration,management,funding
212,2003,NA,country,ARG,ARG-EPHC,tasa_agro,Total,Total,Total,Total,Total,Total,0.017325018787476,0.004348505556855,0.250995719554321,35035.0,Total,Household Socio-Economic Surveys,Encuestas socioeconómicas de los hogares,Employment and social security,Empleo y seguridad social,Total,Total,Total,Total
424,2004,NA,country,ARG,ARG-EPHC,tasa_agro,Total,Total,Total,Total,Total,Total,0.01392556579965,0.003815220116067,0.273972359253262,36832.0,Total,Household Socio-Economic Surveys,Encuestas socioeconómicas de los hogares,Employment and social security,Empleo y seguridad social,Total,Total,Total,Total
638,2005,NA,country,ARG,ARG-EPHC,tasa_agro,Total,Total,Total,Total,Total,Total,0.013311226085486,0.00367047841395,0.275743075084031,37596.0,Total,Household Socio-Economic Surveys,Encuestas socioeconómicas de los hogares,Employment and social security,Empleo y seguridad social,Total,Total,Total,Total
854,2006,NA,country,ARG,ARG-EPHC,tasa_agro,Total,Total,Total,Total,Total,Total,0.009586177763608,0.003060797917963,0.319292839486275,52221.0,Total,Household Socio-Economic Surveys,Encuestas socioeconómicas de los hogares,Employment and social security,Empleo y seguridad social,Total,Total,Total,Total
1068,2007,NA,country,ARG,ARG-EPHC,tasa_agro,Total,Total,Total,Total,Total,Total,0.009331653335291,0.003006206776423,0.32215157040332,49742.0,Total,Household Socio-Economic Surveys,Encuestas socioeconómicas de los hogares,Employment and social security,Empleo y seguridad social,Total,Total,Total,Total
1284,2008,NA,country,ARG,ARG-EPHC,tasa_agro,Total,Total,Total,Total,Total,Total,0.01314925265746,0.003535345387266,0.268862838015346,50277.0,Total,Household Socio-Economic Surveys,Encuestas socioeconómicas de los hogares,Employment and social security,Empleo y seguridad social,Total,Total,Total,Total
1502,2009,NA,country,ARG,ARG-EPHC,tasa_agro,Total,Total,Total,Total,Total,Total,0.013646391554625,0.003593016127153,0.263294227838247,48293.0,Total,Household Socio-Economic Surveys,Encuestas socioeconómicas de los hogares,Employment and social security,Empleo y seguridad social,Total,Total,Total,Total
1716,2010,NA,country,ARG,ARG-EPHC,tasa_agro,Total,Total,Total,Total,Total,Total,0.011521486831899,0.00327782905096,0.284497053096064,47926.0,Total,Household Socio-Economic Surveys,Encuestas socioeconómicas de los hogares,Employment and social security,Empleo y seguridad social,Total,Total,Total,Total
1930,2011,NA,country,ARG,ARG-EPHC,tasa_agro,Total,Total,Total,Total,Total,Total,0.005584108499982,0.002260797250696,0.404862701128174,47304.0,Total,Household Socio-Economic Surveys,Encuestas socioeconómicas de los hogares,Employment and social security,Empleo y seguridad social,Total,Total,Total,Total
2135,2012,NA,country,ARG,ARG-EPHC,tasa_agro,Total,Total,Total,Total,Total,Total,0.00572447403868,0.002276534008943,0.397684397476683,45448.0,Total,Household Socio-Economic Surveys,Encuestas socioeconómicas de los hogares,Employment and social security,Empleo y seguridad social,Total,Total,Total,Total
2347,2013,NA,country,ARG,ARG-EPHC,tasa_agro,Total,Total,Total,Total,Total,Total,0.005871134074701,0.002297651676624,0.391347165196619,45779.0,Total,Household Socio-Economic Surveys,Encuestas socioeconómicas de los hogares,Employment and social security,Empleo y seguridad social,Total,Total,Total,Total
2559,2014,NA,country,ARG,ARG-EPHC,tasa_agro,Total,Total,Total,Total,Total,Total,0.005529482217097,0.002222607959872,0.401955892542688,49599.0,Total,Household Socio-Economic Surveys,Encuestas socioeconómicas de los hogares,Employment and social security,Empleo y seguridad social,Total,Total,Total,Total
2755,2015,NA,country,ARG,ARG-EPHC,tasa_agro,Total,Total,Total,Total,Total,Total,0.005421446823318,0.002202485088329,0.406254116309974,48559.0,Total,Household Socio-Economic Surveys,Encuestas socioeconómicas de los hogares,Employment and social security,Empleo y seguridad social,Total,Total,Total,Total
2965,2016,NA,country,ARG,ARG-EPHC,tasa_agro,Total,Total,Total,Total,Total,Total,0.005743209136243,0.00223024459593,0.388327247541079,47798.0,Total,Household Socio-Economic Surveys,Encuestas socioeconómicas de los hogares,Employment and social security,Empleo y seguridad social,Total,Total,Total,Total
3170,2017,NA,country,ARG,ARG-EPHC,tasa_agro,Total,Total,Total,Total,Total,Total,0.005316542272911,0.002116541516502,0.39810489747941,48566.0,Total,Household Socio-Economic Surveys,Encuestas socioeconómicas de los hogares,Employment and social security,Empleo y seguridad social,Total,Total,Total,Total
3382,2018,NA,country,ARG,ARG-EPHC,tasa_agro,Total,Total,Total,Total,Total,Total,0.004920226222277,0.002035297778549,0.41365939015847,47131.0,Total,Household Socio-Economic Surveys,Encuestas socioeconómicas de los hogares,Employment and social security,Empleo y seguridad social,Total,Total,Total,Total
3598,2019,NA,country,ARG,ARG-EPHC,tasa_agro,Total,Total,Total,Total,Total,Total,0.005756883994486,0.002175023037378,0.377812552669298,48292.0,Total,Household Socio-Economic Surveys,Encuestas socioeconómicas de los hogares,Employment and social security,Empleo y seguridad social,Total,Total,Total,Total
3804,2020,NA,country,ARG,ARG-EPHC,tasa_agro,Total,Total,Total,Total,Total,Total,0.004844808723575,0.00208418310227,0.430188934421406,33695.0,Total,Household Socio-Economic Surveys,Encuestas socioeconómicas de los hogares,Employment and social security,Empleo y seguridad social,Total,Total,Total,Total
4018,2021,NA,country,ARG,ARG-EPHC,tasa_agro,Total,Total,Total,Total,Total,Total,0.00598219980217,0.002178122898695,0.36410066041331,42048.0,Total,Household Socio-Economic Surveys,Encuestas socioeconómicas de los hogares,Employment and social security,Empleo y seguridad social,Total,Total,Total,Total
4230,2022,NA,country,ARG,ARG-EPHC,tasa_agro,Total,Total,Total,Total,Total,Total,0.006519896320312,0.002231973011154,0.342332592651873,42566.0,Total,Household Socio-Economic Surveys,Encuestas socioeconómicas de los hogares,Employment and social security,Empleo y seguridad social,Total,Total,Total,Total
4384,2003,NA,country,BHS,BHS-LFS,tasa_agro,Total,Total,Total,Total,Total,Total,0.018048498389669,0.033552916176118,1.85904197965428,5261.0,Total,Household Socio-Economic Surveys,Encuestas socioeconómicas de los hogares,Employment and social security,Empleo y seguridad social,Total,Total,Total,Total
4538,2004,NA,country,BHS,BHS-LFS,tasa_agro,Total,Total,Total,Total,Total,Total,0.023014581826516,0.03731538568197,1.6213801303562,5056.0,Total,Household Socio-Economic Surveys,Encuestas socioeconómicas de los hogares,Employment and social security,Empleo y seguridad social,Total,Total,Total,Total
4703,2005,NA,country,BHS,BHS-LFS,tasa_agro,Total,Total,Total,Total,Total,Total,0.019730776323068,0.029342398667624,1.48713857920115,5423.0,Total,Household Socio-Economic Surveys,Encuestas socioeconómicas de los hogares,Employment and social security,Empleo y seguridad social,Total,Total,Total,Total
4867,2006,NA,country,BHS,BHS-LFS,tasa_agro,Total,Total,Total,Total,Total,Total,0.011993390560618,0.026564815681445,2.21495460747139,5519.0,Total,Household Socio-Economic Surveys,Encuestas socioeconómicas de los hogares,Employment and social security,Empleo y seguridad social,Total,Total,Total,Total
5037,2007,NA,country,BHS,BHS-LFS,tasa_agro,Total,Total,Total,Total,Total,Total,0.016568151514714,0.028637572189687,1.72847116736311,5742.0,Total,Household Socio-Economic Surveys,Encuestas socioeconómicas de los hogares,Employment and social security,Empleo y seguridad social,Total,Total,Total,Total
5213,2008,NA,country,BHS,BHS-LFS,tasa_agro,Total,Total,Total,Total,Total,Total,0.017394670520413,0.031175978380815,1.79227185385482,5471.0,Total,Household Socio-Economic Surveys,Encuestas socioeconómicas de los hogares,Employment and social security,Empleo y seguridad social,Total,Total,Total,Total
5347,2009,NA,country,BHS,BHS-LFS,tasa_agro,Total,Total,Total,Total,Total,Total,0.012192992376891,0.027626815207643,2.26579451160842,5046.0,Total,Household Socio-Economic Surveys,Encuestas socioeconómicas de los hogares,Employment and social security,Empleo y seguridad social,Total,Total,Total,Total
