_id,year,month,idgeo,isoalpha3,source,indicator,area,quintile,sex,education_level,age,ethnicity,value,se,cv,sample,language,collection_en,collection_es,theme_en,theme_es,disability,migration,management,funding
216,2003,NA,country,ARG,ARG-EPHC,formalidad_2,Total,Total,Total,Total,Total,Total,0.374334163617983,0.016128693016923,0.043086350604596,35035.0,Total,Household Socio-Economic Surveys,Encuestas socioeconómicas de los hogares,Employment and social security,Empleo y seguridad social,Total,Total,Total,Total
432,2004,NA,country,ARG,ARG-EPHC,formalidad_2,Total,Total,Total,Total,Total,Total,0.385880534185425,0.015849340371492,0.041073179306516,36832.0,Total,Household Socio-Economic Surveys,Encuestas socioeconómicas de los hogares,Employment and social security,Empleo y seguridad social,Total,Total,Total,Total
652,2005,NA,country,ARG,ARG-EPHC,formalidad_2,Total,Total,Total,Total,Total,Total,0.404743067353969,0.015720468739019,0.038840612741789,37596.0,Total,Household Socio-Economic Surveys,Encuestas socioeconómicas de los hogares,Employment and social security,Empleo y seguridad social,Total,Total,Total,Total
874,2006,NA,country,ARG,ARG-EPHC,formalidad_2,Total,Total,Total,Total,Total,Total,0.433062381645502,0.015564903743954,0.035941481882616,52221.0,Total,Household Socio-Economic Surveys,Encuestas socioeconómicas de los hogares,Employment and social security,Empleo y seguridad social,Total,Total,Total,Total
1094,2007,NA,country,ARG,ARG-EPHC,formalidad_2,Total,Total,Total,Total,Total,Total,0.471925123103782,0.015608447566141,0.0330739916186,49742.0,Total,Household Socio-Economic Surveys,Encuestas socioeconómicas de los hogares,Employment and social security,Empleo y seguridad social,Total,Total,Total,Total
1314,2008,NA,country,ARG,ARG-EPHC,formalidad_2,Total,Total,Total,Total,Total,Total,0.476245997110243,0.015500115105898,0.032546447004172,50277.0,Total,Household Socio-Economic Surveys,Encuestas socioeconómicas de los hogares,Employment and social security,Empleo y seguridad social,Total,Total,Total,Total
1534,2009,NA,country,ARG,ARG-EPHC,formalidad_2,Total,Total,Total,Total,Total,Total,0.483835756074084,0.015476646813299,0.031987397828716,48293.0,Total,Household Socio-Economic Surveys,Encuestas socioeconómicas de los hogares,Employment and social security,Empleo y seguridad social,Total,Total,Total,Total
1754,2010,NA,country,ARG,ARG-EPHC,formalidad_2,Total,Total,Total,Total,Total,Total,0.501338121539247,0.01535737073461,0.030632760755273,47926.0,Total,Household Socio-Economic Surveys,Encuestas socioeconómicas de los hogares,Employment and social security,Empleo y seguridad social,Total,Total,Total,Total
1974,2011,NA,country,ARG,ARG-EPHC,formalidad_2,Total,Total,Total,Total,Total,Total,0.505074223899859,0.015168697944419,0.030032611498754,47304.0,Total,Household Socio-Economic Surveys,Encuestas socioeconómicas de los hogares,Employment and social security,Empleo y seguridad social,Total,Total,Total,Total
2194,2012,NA,country,ARG,ARG-EPHC,formalidad_2,Total,Total,Total,Total,Total,Total,0.50127181699967,0.015087649004486,0.030098737836075,45448.0,Total,Household Socio-Economic Surveys,Encuestas socioeconómicas de los hogares,Employment and social security,Empleo y seguridad social,Total,Total,Total,Total
