_id,name,country,isoalpha3,frequency,period,date,value
1,"GDP (US$ per capita, current prices)",Argentina,ARG,Annual,1993,01/01/1993 12:00:00 AM,7535.541554789233
2,"GDP (US$ per capita, current prices)",Argentina,ARG,Annual,1994,01/01/1994 12:00:00 AM,8093.228662041112
3,"GDP (US$ per capita, current prices)",Argentina,ARG,Annual,1995,01/01/1995 12:00:00 AM,8001.790979809282
4,"GDP (US$ per capita, current prices)",Argentina,ARG,Annual,1996,01/01/1996 12:00:00 AM,8333.892346308428
5,"GDP (US$ per capita, current prices)",Argentina,ARG,Annual,1997,01/01/1997 12:00:00 AM,8861.236559767358
6,"GDP (US$ per capita, current prices)",Argentina,ARG,Annual,1998,01/01/1998 12:00:00 AM,8941.331755615676
7,"GDP (US$ per capita, current prices)",Argentina,ARG,Annual,1999,01/01/1999 12:00:00 AM,8382.838615801007
8,"GDP (US$ per capita, current prices)",Argentina,ARG,Annual,2000,01/01/2000 12:00:00 AM,8308.273816048139
9,"GDP (US$ per capita, current prices)",Argentina,ARG,Annual,2001,01/01/2001 12:00:00 AM,7769.082252201162
10,"GDP (US$ per capita, current prices)",Argentina,ARG,Annual,2002,01/01/2002 12:00:00 AM,2759.55523613778
11,"GDP (US$ per capita, current prices)",Argentina,ARG,Annual,2003,01/01/2003 12:00:00 AM,3603.665707059207
12,"GDP (US$ per capita, current prices)",Argentina,ARG,Annual,2004,01/01/2004 12:00:00 AM,4259.521692362814
13,"GDP (US$ per capita, current prices)",Argentina,ARG,Annual,2005,01/01/2005 12:00:00 AM,5086.56991705758
14,"GDP (US$ per capita, current prices)",Argentina,ARG,Annual,2006,01/01/2006 12:00:00 AM,5890.930161132525
15,"GDP (US$ per capita, current prices)",Argentina,ARG,Annual,2007,01/01/2007 12:00:00 AM,7210.672594311309
16,"GDP (US$ per capita, current prices)",Argentina,ARG,Annual,2008,01/01/2008 12:00:00 AM,8977.506850805856
17,"GDP (US$ per capita, current prices)",Argentina,ARG,Annual,2009,01/01/2009 12:00:00 AM,8184.389889403995
18,"GDP (US$ per capita, current prices)",Argentina,ARG,Annual,2010,01/01/2010 12:00:00 AM,10386.0968201506
19,"GDP (US$ per capita, current prices)",Argentina,ARG,Annual,2011,01/01/2011 12:00:00 AM,12743.26714593381
20,"GDP (US$ per capita, current prices)",Argentina,ARG,Annual,2012,01/01/2012 12:00:00 AM,13813.28307550861
21,"GDP (US$ per capita, current prices)",Argentina,ARG,Annual,2013,01/01/2013 12:00:00 AM,14310.03369795977
22,"GDP (US$ per capita, current prices)",Argentina,ARG,Annual,2014,01/01/2014 12:00:00 AM,13037.35042315038
23,"GDP (US$ per capita, current prices)",Argentina,ARG,Annual,2015,01/01/2015 12:00:00 AM,14621.06510680605
24,"GDP (US$ per capita, current prices)",Argentina,ARG,Annual,2016,01/01/2016 12:00:00 AM,12630.48078150374
25,"GDP (US$ per capita, current prices)",Argentina,ARG,Annual,2017,01/01/2017 12:00:00 AM,14442.5168185907
26,"GDP (US$ per capita, current prices)",Argentina,ARG,Annual,2018,01/01/2018 12:00:00 AM,11303.55499248379
27,"GDP (US$ per capita, current prices)",Argentina,ARG,Annual,2019,01/01/2019 12:00:00 AM,9745.61621814712
28,"GDP (US$ per capita, current prices)",Argentina,ARG,Annual,2020,01/01/2020 12:00:00 AM,8374.217109227022
29,"GDP (US$ per capita, current prices)",Argentina,ARG,Annual,2021,01/01/2021 12:00:00 AM,10560.49002403359
30,"GDP (US$ per capita, current prices)",Argentina,ARG,Annual,2022,01/01/2022 12:00:00 AM,13350.28917609166
31,"GDP (US$ per capita, current prices)",Chile,CHL,Annual,1996,01/01/1996 12:00:00 AM,5376.172361651799
32,"GDP (US$ per capita, current prices)",Chile,CHL,Annual,1997,01/01/1997 12:00:00 AM,5789.092427418796
33,"GDP (US$ per capita, current prices)",Chile,CHL,Annual,1998,01/01/1998 12:00:00 AM,5467.481248285065
34,"GDP (US$ per capita, current prices)",Chile,CHL,Annual,1999,01/01/1999 12:00:00 AM,4981.178104763249
35,"GDP (US$ per capita, current prices)",Chile,CHL,Annual,2000,01/01/2000 12:00:00 AM,5096.98271012284
36,"GDP (US$ per capita, current prices)",Chile,CHL,Annual,2001,01/01/2001 12:00:00 AM,4606.783551385395
37,"GDP (US$ per capita, current prices)",Chile,CHL,Annual,2002,01/01/2002 12:00:00 AM,4479.178450336211
38,"GDP (US$ per capita, current prices)",Chile,CHL,Annual,2003,01/01/2003 12:00:00 AM,4824.18963363205
39,"GDP (US$ per capita, current prices)",Chile,CHL,Annual,2004,01/01/2004 12:00:00 AM,6185.539049205625
40,"GDP (US$ per capita, current prices)",Chile,CHL,Annual,2005,01/01/2005 12:00:00 AM,7561.947635232151
41,"GDP (US$ per capita, current prices)",Chile,CHL,Annual,2006,01/01/2006 12:00:00 AM,9418.116577388662
42,"GDP (US$ per capita, current prices)",Chile,CHL,Annual,2007,01/01/2007 12:00:00 AM,10461.35977369803
43,"GDP (US$ per capita, current prices)",Chile,CHL,Annual,2008,01/01/2008 12:00:00 AM,10783.16106618198
44,"GDP (US$ per capita, current prices)",Chile,CHL,Annual,2009,01/01/2009 12:00:00 AM,10205.50783366953
45,"GDP (US$ per capita, current prices)",Chile,CHL,Annual,2010,01/01/2010 12:00:00 AM,12767.79738357058
46,"GDP (US$ per capita, current prices)",Chile,CHL,Annual,2011,01/01/2011 12:00:00 AM,14628.65690959584
47,"GDP (US$ per capita, current prices)",Chile,CHL,Annual,2012,01/01/2012 12:00:00 AM,15405.91978497142
48,"GDP (US$ per capita, current prices)",Chile,CHL,Annual,2013,01/01/2013 12:00:00 AM,15832.04047543685
49,"GDP (US$ per capita, current prices)",Chile,CHL,Annual,2014,01/01/2014 12:00:00 AM,14665.68994062733
50,"GDP (US$ per capita, current prices)",Chile,CHL,Annual,2015,01/01/2015 12:00:00 AM,13570.99206934457
