_id,year,month,idgeo,isoalpha3,source,indicator,area,quintile,sex,education_level,age,ethnicity,value,se,cv,sample,language,collection_en,collection_es,theme_en,theme_es,disability,migration,management,funding
1,1970,NA,NA,PAN,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.040432801246643,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
2,1970,NA,NA,VEN,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.041628699302673,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
3,1970,NA,NA,GTM,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.018587199449539,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
4,1970,NA,NA,DOM,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.026407899856567,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
5,1970,NA,NA,PRY,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.02105190038681,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
6,1970,NA,NA,NIC,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.020385899543762,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
7,1970,NA,NA,GUY,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.043289799690247,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
8,1970,NA,NA,ARG,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.014580899477005,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
9,1970,NA,NA,ECU,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.020028300285339,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
10,1971,NA,NA,PRY,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.022654399871826,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
11,1971,NA,NA,NIC,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.024920299053192,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
12,1971,NA,NA,VEN,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.041799201965332,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
13,1971,NA,NA,PAN,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.033539199829102,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
14,1971,NA,NA,GTM,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.020255401134491,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
15,1971,NA,NA,ECU,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.018794000148773,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
16,1972,NA,NA,VEN,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.048372898101807,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
17,1972,NA,NA,ARG,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.019362000226974,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
18,1972,NA,NA,PAN,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.039828200340271,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
19,1973,NA,NA,ARG,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.017805199623108,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
20,1973,NA,NA,PAN,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.034857499599457,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
21,1973,NA,NA,PER,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.033917200565338,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
22,1973,NA,NA,JAM,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.036314399242401,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
23,1974,NA,NA,CHL,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.037512099742889,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
24,1974,NA,NA,VEN,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.039479598999023,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
25,1974,NA,NA,JAM,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.042489700317383,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
26,1974,NA,NA,ARG,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.019235199689865,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
27,1974,NA,NA,PAN,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.038197999000549,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
28,1975,NA,NA,PAN,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.041545100212097,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
29,1975,NA,NA,SLV,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.009045100212097,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
30,1975,NA,NA,JAM,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.05228789806366,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
31,1975,NA,NA,ARG,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.018436000347137,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
32,1975,NA,NA,VEN,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.051985101699829,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
33,1975,NA,NA,CHL,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.035947299003601,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
34,1976,NA,NA,GTM,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.016272900104523,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
35,1976,NA,NA,PAN,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.043127298355102,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
36,1976,NA,NA,JAM,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.058583297729492,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
37,1976,NA,NA,BRB,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.059447999000549,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
38,1976,NA,NA,ARG,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.011656399965286,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
39,1977,NA,NA,JAM,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.060265197753906,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
40,1977,NA,NA,PAN,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.042809600830078,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
41,1977,NA,NA,BRB,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.065171599388123,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
42,1977,NA,NA,VEN,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.052566599845886,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
43,1977,NA,NA,GUY,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.070887298583984,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
44,1977,NA,NA,ARG,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.017198400497436,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
45,1977,NA,NA,ECU,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.02418839931488,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
46,1978,NA,NA,PAN,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.036059799194336,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
47,1978,NA,NA,HND,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.020190498828888,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
48,1978,NA,NA,CHL,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.030704500675201,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
49,1978,NA,NA,ARG,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.019355499744415,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
50,1979,NA,NA,HND,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.020129899978638,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
51,1979,NA,NA,URY,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.019871300458908,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
52,1979,NA,NA,PAN,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.036425499916077,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
53,1979,NA,NA,GUY,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.093778696060181,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
54,1979,NA,NA,ARG,UNESCO-UIS,XGDP.FSGOV,Total,Total,Total,Total,Total,Total,0.024002799987793,NA,NA,NA,Total,International Organizations,Organizaciones internacionales,Education,Educación,Total,Total,Total,Total
