_id,year,month,idgeo,isoalpha3,source,indicator,area,quintile,sex,education_level,age,ethnicity,value,se,cv,sample,language,collection_en,collection_es,theme_en,theme_es,disability,migration,management,funding
180,2003,NA,country,ARG,ARG-EPHC,salminmes_ppp,Total,Total,Total,Total,Total,Total,192.052466512259,1937.52515587267,29678.0734572875,6483499.21698735,Total,Household Socio-Economic Surveys,Encuestas socioeconómicas de los hogares,Employment and social security,Empleo y seguridad social,Total,Total,Total,Total
360,2004,NA,country,ARG,ARG-EPHC,salminmes_ppp,Total,Total,Total,Total,Total,Total,278.908814349656,2297.38084143639,24783.2802717732,9907677.81214283,Total,Household Socio-Economic Surveys,Encuestas socioeconómicas de los hogares,Employment and social security,Empleo y seguridad social,Total,Total,Total,Total
546,2005,NA,country,ARG,ARG-EPHC,salminmes_ppp,Total,Total,Total,Total,Total,Total,384.313478978085,2997.1398696128,23796.4942614195,13891010.6976629,Total,Household Socio-Economic Surveys,Encuestas socioeconómicas de los hogares,Employment and social security,Empleo y seguridad social,Total,Total,Total,Total
732,2006,NA,country,ARG,ARG-EPHC,salminmes_ppp,Total,Total,Total,Total,Total,Total,416.952109033589,3122.40339062692,23303.989190502,20969355.4675173,Total,Household Socio-Economic Surveys,Encuestas socioeconómicas de los hogares,Employment and social security,Empleo y seguridad social,Total,Total,Total,Total
918,2007,NA,country,ARG,ARG-EPHC,salminmes_ppp,Total,Total,Total,Total,Total,Total,491.790595690725,3950.38765661802,25214.0898769789,23726437.289099,Total,Household Socio-Economic Surveys,Encuestas socioeconómicas de los hogares,Employment and social security,Empleo y seguridad social,Total,Total,Total,Total
1104,2008,NA,country,ARG,ARG-EPHC,salminmes_ppp,Total,Total,Total,Total,Total,Total,544.612706751323,4438.45600161665,25755.3771697514,26520460.3679624,Total,Household Socio-Economic Surveys,Encuestas socioeconómicas de los hogares,Employment and social security,Empleo y seguridad social,Total,Total,Total,Total
1290,2009,NA,country,ARG,ARG-EPHC,salminmes_ppp,Total,Total,Total,Total,Total,Total,610.153120418902,5275.14376174092,27385.5859042441,28522217.767102,Total,Household Socio-Economic Surveys,Encuestas socioeconómicas de los hogares,Employment and social security,Empleo y seguridad social,Total,Total,Total,Total
1476,2010,NA,country,ARG,ARG-EPHC,salminmes_ppp,Total,Total,Total,Total,Total,Total,674.107894804805,5820.75829454993,27599.1763069013,31296807.2321027,Total,Household Socio-Economic Surveys,Encuestas socioeconómicas de los hogares,Employment and social security,Empleo y seguridad social,Total,Total,Total,Total
1662,2011,NA,country,ARG,ARG-EPHC,salminmes_ppp,Total,Total,Total,Total,Total,Total,802.996118310262,7076.24375008537,28506.3577845661,36768389.2613086,Total,Household Socio-Economic Surveys,Encuestas socioeconómicas de los hogares,Employment and social security,Empleo y seguridad social,Total,Total,Total,Total
1848,2012,NA,country,ARG,ARG-EPHC,salminmes_ppp,Total,Total,Total,Total,Total,Total,835.965140503326,7820.78321924266,30423.9482605059,36776614.4261628,Total,Household Socio-Economic Surveys,Encuestas socioeconómicas de los hogares,Employment and social security,Empleo y seguridad social,Total,Total,Total,Total
